X,Y,Cluster
664159,550946,2
665845,557965,2
597173,575538,2
618600,551446,2
635690,608046,2
588100,557588,2
582015,546191,2
604678,574577,2
572029,518313,2
604737,574591,2
577728,587566,2
602013,574722,2
627968,574625,2
607269,536961,2
603145,574795,2
671919,571761,2
612184,570393,2
600032,575310,2
627912,593892,2
601967,604428,2
591851,569051,2
601444,572693,2
629718,558104,2
661430,603567,2
597551,556737,2
601182,582584,2
562704,570596,2
605107,563429,2
607214,575069,2
568824,570203,2
612485,518009,2
589244,573777,2
625579,551084,2
560237,500154,2
626224,569687,2
610666,551701,2
597428,569940,2
600582,599535,2
604168,555003,2
613871,550423,2
617310,551945,2
625728,579460,2
606300,566708,2
638559,558807,2
582176,630383,2
544056,577786,2
631297,578351,2
561574,621747,2
604973,574773,2
605284,556134,2
617910,592293,2
555904,640401,2
526559,509417,0
603849,572396,2
598634,619900,2
603359,589262,2
657455,567754,2
614279,599251,2
578496,631434,2
645171,595209,2
688015,533535,2
656477,573007,2
540029,563888,2
597418,538362,2
613545,574733,2
628696,542447,2
604157,574191,2
603126,497987,2
605850,533310,2
596179,529556,2
610330,552628,2
598184,531473,2
620438,511694,2
600202,622079,2
603021,577991,2
515612,540643,0
606548,574376,2
593490,623110,2
607084,595500,2
583728,563146,2
616044,533807,2
624452,584622,2
604438,574666,2
625709,660145,2
601376,579831,2
565148,557305,2
639418,537903,2
612799,537497,2
583653,652182,2
599808,596484,2
605250,573272,2
606738,601356,2
611044,571814,2
575440,568511,2
616329,529516,2
605927,572533,2
609286,586782,2
647354,579190,2
606929,571420,2
562920,559223,2
680357,620811,2
707100,601463,2
604294,574368,2
614917,600946,2
611508,503220,2
603789,574474,2
551740,588768,2
546031,570429,2
569197,559307,2
688712,568754,2
604067,574091,2
606809,572101,2
588597,622592,2
613840,534167,2
576263,547239,2
597077,568196,2
601339,571609,2
606011,569426,2
593398,559764,2
593166,622725,2
609796,532982,2
712648,607541,2
585048,505097,2
525967,565687,2
660327,585901,2
607604,573951,2
604001,573587,2
591484,571087,2
613868,585089,2
645464,660478,2
538571,654649,2
555429,604551,2
597620,586226,2
586097,567445,2
545235,539822,2
649088,575733,2
599123,616977,2
563763,559454,2
617717,613939,2
618869,577243,2
567188,560044,2
636628,533309,2
560362,567914,2
595014,632844,2
605876,550640,2
604352,573425,2
600679,599545,2
596891,579476,2
614943,540976,2
604415,571400,2
603698,573585,2
658199,568743,2
598759,582942,2
671269,590258,2
593317,534085,2
657985,453405,1
608557,590278,2
623004,508050,2
601900,569391,2
641031,593074,2
589658,640498,2
567565,573952,2
559078,570088,2
639431,588155,2
566609,537592,2
568570,579335,2
660650,615038,2
667639,571164,2
596796,529933,2
606111,617846,2
616060,590779,2
602873,527864,2
571334,594145,2
602167,543919,2
605100,573307,2
546640,560043,2
585195,555011,2
651740,589474,2
589112,536573,2
582057,543124,2
690968,555952,2
609030,552436,2
632125,541413,2
603445,630598,2
628264,616214,2
577242,574073,2
604090,574392,2
607911,576556,2
600665,638890,2
600117,539079,2
631182,565466,2
695646,652231,2
619445,567491,2
613191,571942,2
567428,580005,2
590583,623314,2
606289,670243,2
585175,574133,2
634967,579020,2
614615,574437,2
593061,579188,2
606933,576409,2
606587,573873,2
594084,629464,2
683697,581516,2
601530,577183,2
603055,589818,2
616561,619007,2
607463,477085,1
611581,572630,2
579712,568354,2
602887,595245,2
600039,557139,2
605913,579526,2
579773,568698,2
606324,544357,2
605958,573728,2
606144,575076,2
667472,570571,2
580048,565009,2
597802,576113,2
610263,574422,2
603855,575180,2
624369,532153,2
599870,591110,2
577167,617095,2
658403,611332,2
563460,480559,1
610980,522819,2
569422,567790,2
627727,578737,2
592804,584539,2
540783,626497,2
591823,639096,2
637323,549567,2
638078,629421,2
611315,560757,2
647103,573853,2
522993,595581,2
601187,531825,2
533799,564377,2
649034,528813,2
620975,564344,2
622407,583192,2
597026,642918,2
551291,576721,2
608768,610525,2
697959,614701,2
658281,582264,2
546632,599204,2
672565,564468,2
636500,587401,2
696144,548705,2
533551,582247,2
526802,551524,2
553038,606418,2
696601,603624,2
588964,597435,2
716139,621721,2
608529,586311,2
557378,567033,2
589994,610890,2
589344,563119,2
624415,515911,2
565483,551512,2
584895,574666,2
582777,542670,2
639394,576728,2
608298,573748,2
663578,586265,2
628080,562986,2
597421,554767,2
595193,576508,2
658103,572250,2
659529,498474,2
606415,581386,2
641976,577433,2
587466,564953,2
589180,595099,2
601885,573083,2
580561,528916,2
621726,578003,2
558817,576255,2
620213,574468,2
594010,570095,2
541976,512639,2
593840,578685,2
602667,575857,2
631446,561156,2
596481,567449,2
611318,581584,2
568546,564911,2
593865,572987,2
597017,575588,2
578804,573582,2
673750,594081,2
592714,553958,2
594029,586701,2
668502,563937,2
629533,537542,2
801539,318482,1
801667,318542,1
814045,332998,1
800479,321640,1
757470,224976,1
844536,424646,2
797105,316002,1
779956,271501,1
797205,313318,1
801323,316240,1
783666,262902,1
806131,312752,1
830658,368694,1
802482,335269,1
801910,325434,1
808062,337340,1
789833,304422,1
803603,327255,1
800865,312968,1
802237,318526,1
803959,315173,1
800123,312312,1
780927,285057,1
797242,324588,1
801551,320544,1
809182,319115,1
801931,317202,1
870801,476330,2
820327,352701,1
801093,317509,1
798523,324500,1
805237,318655,1
803375,311620,1
801441,323812,1
797313,317527,1
788220,301915,1
790395,300024,1
817135,349925,1
797787,301470,1
804630,332333,1
808710,330379,1
802111,320817,1
796375,309563,1
819768,346596,1
814605,354382,1
800565,319364,1
802089,313456,1
814401,341234,1
796609,319691,1
776131,248465,1
803464,329093,1
802646,317894,1
809550,327365,1
795322,311178,1
830450,393096,1
778414,260729,1
800041,318331,1
802814,320130,1
802738,312234,1
823913,369439,1
803386,318982,1
812869,346251,1
798904,324420,1
800447,331643,1
807446,342555,1
804251,329956,1
797594,302109,1
803448,314797,1
765502,240340,1
795527,315510,1
794640,313497,1
808717,335740,1
790932,305223,1
816852,352965,1
826228,376658,1
795299,312036,1
808686,332209,1
809594,344872,1
799275,324108,1
878184,487392,2
798472,322218,1
824822,367091,1
746769,205186,1
756701,207223,1
795489,287279,1
800483,320713,1
783491,288029,1
797162,306135,1
800272,316170,1
806827,324616,1
802853,314938,1
800804,316615,1
813173,354777,1
801588,319814,1
797400,315778,1
823840,368410,1
811391,343836,1
801055,321833,1
804038,306622,1
803780,334441,1
834173,386159,1
802784,313853,1
807293,347456,1
817119,336333,1
786635,269352,1
824624,381716,1
797415,319840,1
800772,325023,1
806626,318966,1
800845,311838,1
769386,259892,1
797272,324228,1
807409,325526,1
795836,291870,1
798321,319665,1
805372,313397,1
790738,308028,1
800667,315995,1
795205,316433,1
809054,345541,1
808452,320117,1
779897,279572,1
782642,275308,1
797569,321799,1
801751,318110,1
787644,297715,1
807401,314610,1
800677,310656,1
800394,301473,1
795571,310093,1
814158,335578,1
811913,325091,1
806982,316680,1
775604,274485,1
800133,327081,1
806511,313841,1
803796,314893,1
802012,318315,1
826789,377676,1
814108,344096,1
804354,309671,1
807017,330432,1
803774,334756,1
817410,346944,1
841928,398948,1
816145,349032,1
818622,370753,1
786245,292352,1
784164,285702,1
805390,319676,1
790774,303642,1
803277,319525,1
833182,379714,1
773023,251826,1
801609,320399,1
778965,282290,1
814317,333112,1
805080,323708,1
801080,318049,1
799724,318884,1
798059,316113,1
806176,320301,1
769876,257669,1
825716,373098,1
791983,298565,1
801386,313545,1
804871,317801,1
810903,332925,1
838276,395673,1
810543,341180,1
777978,252419,1
820258,351165,1
801997,319385,1
779437,281959,1
810253,323873,1
794826,309589,1
814280,344223,1
832651,373469,1
794142,306704,1
802041,319504,1
804190,320706,1
798983,325682,1
840462,402858,1
799912,323363,1
804119,328544,1
804358,320802,1
803057,331037,1
803031,325811,1
784151,283760,1
800444,311497,1
802004,317772,1
803470,319069,1
811277,335577,1
803332,315488,1
800037,317963,1
813436,360446,1
800694,316789,1
838129,404012,1
764997,249477,1
800316,311699,1
806848,320541,1
805462,317833,1
798308,312788,1
802655,316263,1
801456,320080,1
801309,318213,1
840886,397888,1
829529,375007,1
830805,370801,1
804979,334141,1
804013,316083,1
808489,317021,1
770113,241615,1
804332,319006,1
833661,389733,1
797834,297329,1
794956,309980,1
801232,307078,1
809552,342258,1
794615,305632,1
809259,345634,1
811502,355939,1
801301,316893,1
803370,318247,1
804702,315881,1
797009,293194,1
813791,334609,1
812965,330224,1
826048,374236,1
800959,322309,1
803405,317316,1
802254,320673,1
783116,265635,1
798633,317300,1
801482,327644,1
798612,326404,1
799001,302014,1
802537,312497,1
799794,315080,1
793892,313943,1
804691,332987,1
793855,298525,1
796952,318633,1
800655,320227,1
801780,318992,1
805977,320805,1
796916,323332,1
820904,351763,1
808405,318841,1
765283,249459,1
824212,363776,1
798981,311092,1
797178,310439,1
800582,316980,1
803839,310353,1
796283,315582,1
801145,317601,1
801662,318423,1
801782,318281,1
803377,319212,1
803932,318781,1
806192,337849,1
789583,287700,1
801586,318947,1
804251,331304,1
799667,316830,1
759789,229116,1
799021,326404,1
793684,312065,1
806320,315242,1
786234,267976,1
821151,366545,1
801903,312794,1
782506,279930,1
803627,319323,1
794991,291216,1
794667,315069,1
799291,317500,1
798243,324160,1
804408,337683,1
818119,348676,1
810502,336169,1
793560,285392,1
801326,315779,1
808644,326320,1
813645,328765,1
800966,317165,1
797111,302781,1
802431,322048,1
811061,333595,1
786719,283364,1
773955,239849,1
803701,321815,1
783110,289805,1
800235,316652,1
807421,317527,1
797947,319734,1
805035,317469,1
801166,322298,1
846693,429031,2
801493,322249,1
806087,326636,1
810657,329468,1
801313,300606,1
800390,309948,1
801634,318965,1
799197,314215,1
795254,296488,1
807696,320548,1
800461,326821,1
801174,320442,1
809781,326904,1
826585,366934,1
804429,312164,1
788005,292268,1
801183,316191,1
378274,816341,0
406233,813072,0
401478,785370,0
448651,847994,0
434440,822866,0
369199,734895,0
413241,771595,0
369418,733394,0
378563,789670,0
424190,780052,0
415993,776671,0
421352,799127,0
432656,783776,0
383032,788008,0
414377,771258,0
425260,773661,0
469139,810971,2
442979,803024,0
347079,803582,0
412797,803180,0
352874,807952,0
442286,755194,0
416433,786159,0
419700,793447,0
422961,821595,0
400008,789447,0
429586,775621,0
457561,788245,0
415417,785827,0
389552,750700,0
415598,786499,0
443447,783977,0
404792,749210,0
389392,730768,0
473485,847098,2
491614,778997,2
437483,785130,0
452570,848127,0
417197,778243,0
405986,787439,0
437568,794323,0
420319,794333,0
418963,746595,0
469422,822619,2
397688,762902,0
418149,790096,0
407289,798870,0
360319,778673,0
473799,795167,2
445199,763833,0
446537,828924,0
410019,732704,0
396540,815936,0
407694,718592,0
417091,792545,0
442260,754050,0
411526,784658,0
407814,765816,0
394022,803914,0
481133,781413,2
396118,794614,0
458538,786673,0
419721,789724,0
424476,781552,0
377720,727349,0
448336,789445,0
412227,787450,0
408745,824896,0
417016,774869,0
395274,786698,0
412541,806622,0
412109,735920,0
407023,787385,0
376660,815936,0
396548,784388,0
508535,830710,2
414014,816460,0
440782,782395,0
436951,814456,0
393758,750953,0
418410,795929,0
425991,787029,0
414562,787355,0
408712,803987,0
377858,811790,0
417169,792321,0
460371,780609,0
388873,746909,0
395641,808571,0
386436,791388,0
440667,768761,0
438437,730300,0
370839,727884,0
422917,781112,0
391555,789079,0
402666,814060,0
474368,812039,2
406176,760860,0
463768,793154,0
446307,796523,0
402309,786873,0
413946,786971,0
425053,790566,0
416926,785113,0
424023,737453,0
417447,782955,0
415672,787824,0
416019,787562,0
417515,787648,0
459230,803720,0
447833,819282,0
418199,851439,0
417393,771537,0
441415,780207,0
399634,751940,0
373360,784232,0
419227,779215,0
434717,808225,0
397669,792218,0
412028,773494,0
407504,803363,0
365147,790525,0
459328,805961,0
429472,860855,0
480128,785580,2
344915,702496,0
410969,770451,0
407460,791404,0
420476,750495,0
397747,792207,0
408428,771823,0
397806,749559,0
426040,825049,0
407565,766203,0
414317,828815,0
410610,765111,0
412388,784064,0
406337,750353,0
422419,754048,0
416039,730594,0
414512,793966,0
398478,822297,0
424375,721868,0
403890,792420,0
400902,772920,0
402367,782997,0
472917,830363,2
418621,840463,0
329002,727685,0
